identifiant,type,famille_juridique,groupe_conceptuel,nom,description
MS-001,MacroSystem,Global,Système,CodifiedLaw,"Système où la source principale du droit est la codification (codes, lois écrites)."
MS-002,MacroSystem,Global,Système,CaseLaw,"Système où la jurisprudence et le précédent jouent un rôle structurant."
MS-003,MacroSystem,Global,Système,ReligiousLaw,"Système où des normes religieuses reconnues organisent des pans entiers du droit."
MS-004,MacroSystem,Global,Système,CustomaryLaw,"Système où la coutume locale joue un rôle central dans la régulation sociale."
MS-005,MacroSystem,Global,Système,PoliticalAdministrativeLaw,"Système où le droit est principalement un instrument de gouvernance politique et administrative."
MS-006,MacroSystem,Global,Système,HybridPluralist,"Système combinant plusieurs ordres normatifs (étatique, religieux, coutumier, international)."
MC-001,MetaConcept,Global,Personne,Personne,"Individus ou entités auxquels le droit attribue un statut juridique."
MC-002,MetaConcept,Global,Propriété,Propriété,"Relations d'appropriation ou de contrôle sur des biens matériels ou immatériels."
MC-003,MetaConcept,Global,Responsabilité,Responsabilité,"Réponse juridique à un dommage ou manquement (faute, réparation, sanction)."
MC-004,MetaConcept,Global,Sanction,Sanction,"Conséquence imposée en cas de violation d'une norme."
MC-005,MetaConcept,Global,Procédure,Procédure,"Règles d'accès à la justice, de preuve, et de déroulement des instances."
MC-006,MetaConcept,Global,Pouvoir_Public,Pouvoir public,"Organes et institutions investis de l'autorité publique."
MC-007,MetaConcept,Global,Ordre_Social,Ordre social,"Organisation des relations familiales, communautaires et de statut."
MC-008,MetaConcept,Global,Gouvernance_Eco,Gouvernance économique,"Organisation et régulation des activités économiques et des marchés."
MC-009,MetaConcept,Global,Information_Données,Information et données,"Gestion, circulation, protection et contrôle des informations et données."
BR-U-001,Branch,Global,Organisation_Etat,Organisation de l'État et des pouvoirs,"Normes relatives à la structure de l'État, à la répartition des compétences et au contrôle des pouvoirs."
BR-U-002,Branch,Global,Relations_Privées,Relations entre personnes privées,"Normes régissant les rapports entre personnes physiques ou morales."
BR-U-003,Branch,Global,Droits_Fondamentaux,Protection des droits et libertés,"Règles protégeant libertés, droits fondamentaux et non-discrimination."
BR-U-004,Branch,Global,Responsabilité,Responsabilité et réparation,"Normes organisant la réparation des dommages et la répartition des risques."
BR-U-005,Branch,Global,Sanction,Sanction des comportements prohibés,"Normes définissant les comportements interdits et les peines associées."
BR-U-006,Branch,Global,Gouvernance_Eco,Régulation économique,"Normes encadrant les marchés, les opérateurs et la concurrence."
BR-U-007,Branch,Global,Protection_Sociale,Protection sociale et travail,"Normes relatives au travail, à la sécurité sociale et à la solidarité."
BR-U-008,Branch,Global,Environnement,Protection de l’environnement,"Normes visant la préservation des ressources naturelles et la prévention des atteintes."
BR-U-009,Branch,Global,Procédure,Normes procédurales,"Règles d'organisation de la justice, de compétence et de preuve."
BR-U-010,Branch,Global,Numérique,Normes technologiques et numériques,"Normes relatives aux données, réseaux, IA, plateformes et cybersécurité."
BR-CIV-001,Branch,CivilLaw,Organisation_Etat,Droit constitutionnel,"Organisation des pouvoirs publics, hiérarchie des normes et contrôle de constitutionnalité."
BR-CIV-002,Branch,CivilLaw,Administration,Droit administratif,"Encadrement de l'action administrative, services publics, police administrative, contentieux."
BR-CIV-003,Branch,CivilLaw,Relations_Privées,Droit civil,"Personnes, famille, biens, obligations, successions dans les systèmes romano-germaniques."
BR-CIV-004,Branch,CivilLaw,Gouvernance_Eco,Droit commercial et des affaires,"Actes de commerce, entreprises, faillites, concurrence."
BR-CIV-005,Branch,CivilLaw,Protection_Sociale,Droit du travail,"Relations individuelles et collectives de travail, protection du salarié."
BR-CIV-006,Branch,CivilLaw,Sanction,Droit pénal,"Infractions, responsabilité pénale, peines et procédure pénale."
BR-CIV-007,Branch,CivilLaw,Fiscalité,Droit fiscal,"Imposition des personnes et entreprises, procédures fiscales."
BR-CIV-008,Branch,CivilLaw,Transnational,Droit international privé,"Conflits de lois et de juridictions pour les situations comportant un élément d’extranéité."
BR-COM-001,Branch,CommonLaw,Organisation_Etat,Constitutional Law,"Organisation des pouvoirs, judicial review, droits constitutionnels."
BR-COM-002,Branch,CommonLaw,Relations_Privées,Contract Law,"Formation, exécution et rupture des contrats."
BR-COM-003,Branch,CommonLaw,Responsabilité,Tort Law,"Responsabilité extra-contractuelle (negligence, nuisance, defamation, etc.)."
BR-COM-004,Branch,CommonLaw,Propriété,Property Law,"Real property, personal property, security interests."
BR-COM-005,Branch,CommonLaw,Equity,Equity & Trusts,"Principes équitables, trusts, injunctions et equitable remedies."
BR-COM-006,Branch,CommonLaw,Sanction,Criminal Law,"Infractions, poursuites, jury, sanctions pénales."
BR-COM-007,Branch,CommonLaw,Procédure,Evidence Law,"Admissibilité des preuves, standards probatoires et règles de preuve."
BR-COM-008,Branch,CommonLaw,Administration,Administrative Law / Agencies,"Pouvoirs réglementaires, décisions quasi-juridictionnelles des agences."
BR-ISL-001,Branch,IslamicLaw,Ordre_Social,Droit du statut personnel,"Mariage, divorce, filiation, successions selon le fiqh."
BR-ISL-002,Branch,IslamicLaw,Transactions,Droit des transactions (Muamalat),"Contrats, commerce, finance islamique, interdiction du ribâ (intérêt)."
BR-ISL-003,Branch,IslamicLaw,Sanction,Droit pénal islamique,"Infractions et peines prévues par la charia (hudud, qisas, ta‘zir)."
BR-ISL-004,Branch,IslamicLaw,Propriété,Droit des fondations (Waqf),"Gestion des biens pieux et des fondations caritatives."
BR-ISL-005,Branch,IslamicLaw,Organisation_Etat,Gouvernance selon la charia,"Principes de légitimité et d’exercice du pouvoir inspirés de la charia."
BR-ISL-006,Branch,IslamicLaw,Hybrid,Droit étatique moderne (Qanun),"Législation étatique coexistante avec les normes religieuses."
BR-SIN-001,Branch,SinoChina,Organisation_Etat,Droit de l’État-parti,"Relations entre Parti communiste et organes étatiques, rôle dirigeant du Parti."
BR-SIN-002,Branch,SinoChina,Administration,Droit administratif de gouvernance,"Usage du droit comme instrument de gestion économique et sociale."
BR-SIN-003,Branch,SinoChina,Sanction,Droit de la sécurité nationale,"Normes protégeant la sécurité politique, territoriale et informationnelle."
BR-SIN-004,Branch,SinoChina,Numérique,Droit numérique étatique,"Contrôle des données, cybersécurité, censure et souveraineté numérique."
BR-SIN-005,Branch,SinoChina,Relations_Privées,Droit civil codifié,"Encadrement des relations privées dans un cadre fortement administré."
BR-PSV-001,Branch,PostSoviet,Sanction,Droit de la sécurité de l’État,"Normes visant la protection du régime et la lutte contre l’opposition."
BR-PSV-002,Branch,PostSoviet,Administration,Droit administratif répressif,"Usage des mécanismes administratifs pour sanctionner ou contrôler."
BR-PSV-003,Branch,PostSoviet,Société,Droit des ONG et médias,"Contrôle et régulation de la société civile et de l’information."
BR-PSV-004,Branch,PostSoviet,Sanction,Droit pénal politique,"Infractions liées à la contestation de l’État ou à l’atteinte à sa sécurité."
BR-COUT-001,Branch,Customary,Ordre_Social,Droit coutumier familial,"Normes traditionnelles concernant mariage, filiation et héritage."
BR-COUT-002,Branch,Customary,Propriété,Droit foncier coutumier,"Règles d’occupation, de propriété collective ou clanique des terres."
BR-COUT-003,Branch,Customary,Responsabilité,Justice coutumière,"Mécanismes communautaires de résolution des conflits et de réparation."
BR-COUT-004,Branch,Customary,Hybrid,Droit mixte étatico-coutumier,"Coexistence entre droit étatique et normes coutumières reconnues."
BR-REL-001,Branch,ReligiousOther,Ordre_Social,Droit personnel religieux non islamique,"Normes issues d'autres traditions (halakha, dharmaśāstra, etc.) sur la famille et le statut."
BR-REL-002,Branch,ReligiousOther,Gouvernance_Eco,Droit économique religieux,"Normes religieuses encadrant les échanges, dettes, intérêts ou activités économiques."
BR-REL-003,Branch,ReligiousOther,Société,Droit communautaire religieux,"Organisation interne des communautés de foi, discipline et résolution des différends."
BR-HYB-001,Branch,Hybrid,Hybrid,Systèmes hybrides constitutionnels,"Ordres juridiques combinant constitution moderne, droit religieux et coutume."
BR-HYB-002,Branch,Hybrid,Transnational,Droit transnational,"Ensemble des normes opérant au-delà des frontières (arbitrage, lex mercatoria, normes privées globales)."
SRC-001,Source,Global,Législation,Législation,"Lois, règlements, codes adoptés par des organes normatifs."
SRC-002,Source,Global,Jurisprudence,Jurisprudence,"Décisions de justice guidant ou liant les décisions futures."
SRC-003,Source,Global,Coutume,Coutume,"Pratiques répétées tenues pour obligatoires au sein d’un groupe."
SRC-004,Source,Global,Doctrine,Doctrine,"Analyses des juristes utilisées comme référence et interprétation."
SRC-005,Source,IslamicLaw,Sources_religieuses,Sources religieuses islamiques,"Coran, Sunna, ijma, qiyas et élaborations du fiqh."
SRC-006,Source,ReligiousOther,Sources_religieuses,Sources religieuses non islamiques,"Textes et commentaires normatifs juifs, hindous, bouddhiques, etc."
SRC-007,Source,SinoChina,Normes_parti,Normes du Parti,"Directives et règlements internes du Parti orientant l’application du droit."
SRC-008,Source,Global,SoftLaw,Soft law,"Lignes directrices, codes de conduite, standards non contraignants."
SRC-009,Source,Global,Norme_technique,Normes techniques,"Standards professionnels ou industriels issus d’organismes spécialisés."
SRC-010,Source,Global,Contrat,Contrat comme source normative,"Clauses organisant des régimes normatifs privés."
SYS-001,SystemParameter,Global,Indépendance,Indépendance judiciaire,"Degré d’autonomie des juges vis-à-vis des pouvoirs politique et économique."
SYS-002,SystemParameter,Global,Séparation_Pouvoirs,Séparation des pouvoirs,"Mesure de la séparation fonctionnelle entre législatif, exécutif et judiciaire."
SYS-003,SystemParameter,Global,Fédéralisme,Centralisation vs fédéralisme,"Répartition verticale des compétences normatives et juridictionnelles."
SYS-004,SystemParameter,Global,Religiosité,Religiosité du système,"Poids des normes religieuses dans l’ordre juridique officiel."
SYS-005,SystemParameter,Global,Coutume,Poids de la coutume,"Niveau de reconnaissance juridique de la coutume."
SYS-006,SystemParameter,Global,Parti_Dominant,Rôle d’un parti dominant,"Degré de contrôle de l’ordre juridique par une formation politique unique."
SYS-007,SystemParameter,Global,International,Primauté du droit international,"Place du droit international dans la hiérarchie des normes internes."
SYS-008,SystemParameter,Global,Constitutionnalisme,Niveau de constitutionnalisme,"Capacité réelle de la constitution à limiter le pouvoir et protéger les droits."
SYS-009,SystemParameter,Global,Gouvernance,Usage du droit comme outil de gouvernance,"Degré d’instrumentalisation du droit à des fins de gestion ou de contrôle."
SYS-010,SystemParameter,Global,Numérique,Gouvernance numérique,"Niveau de contrôle public sur les données, infrastructures et plateformes."
